JPT_KOD_JE,JPT_NAZWA_,Dlugosc,Szerokosc
2208052,Wicko,17.63159,54.70707
3012011,Sulmierzyce,17.52633,51.61666
2817083,Wielbark,20.94805,53.39964
3010092,Skulsk,18.33000,52.47225
2810042,Piecki,21.34809,53.71988
1401063,Wyśmierzyce,20.77969,51.60315
3026043,Śrem,17.01224,52.09106
1430042,Orońsko,20.95395,51.31994
1416032,Boguty-Pianki,22.39828,52.73178
1609112,Tarnów Opolski,18.05182,50.58514
1804073,Pruchnik,22.49074,49.89820
1809011,Lubaczów,23.12000,50.15671
1811022,Borowa,21.32613,50.38414
1818032,Pysznica,22.16005,50.60436
1820032,Grębów,21.85601,50.54906
205052,Paszowice,16.13215,50.99725
616052,Stężyca,21.74559,51.60844
2002152,Zawady,22.57061,53.16697
2202011,Chojnice,17.56749,53.69978
225052,Sulików,15.08737,51.06153
1018052,Łubnice,18.29411,51.17630
2214032,Morzeszczyn,18.66764,53.82954
609062,Jabłonna,22.63724,51.08540
614072,Markuszów,22.25710,51.38436
616062,Ułęż,22.11831,51.60201
2809011,Lidzbark Warmiński,20.56970,54.13185
3010022,Grodziec,18.03574,52.03656
3031042,Lipka,17.21273,53.48785
1209022,Lubień,19.95206,49.68342
2403052,Chybie,18.82659,49.89128
808042,Szczaniec,15.68257,52.23922
809082,Trzebiechów,15.71291,52.02384
3216062,Świdwin,15.74909,53.77928
811102,Żary,15.13347,51.65150
1005032,Chąśno,19.91415,52.19336
1006103,Rzgów,19.50204,51.66150
1009043,Pajęczno,19.01699,51.11939
1205092,Sękowa,21.28879,49.55536
2806062,Miłki,21.84481,53.92772
1429082,Sokołów Podlaski,22.20016,52.41767
1433062,Miedzna,22.05682,52.49313
3008052,Perzów,17.79833,51.24913
3028043,Mieścisko,17.34177,52.73048
1211082,Łapsze Niżne,20.23626,49.39575
1263011,Tarnów,20.97332,50.02445
1021052,Rogów,19.87077,51.82878
1205042,Gorlice,21.13832,49.65088
2409023,Koziegłowy,19.17706,50.57876
2415052,Godów,18.48866,49.93402
214042,Dziadowa Kłoda,17.68007,51.21391
1803063,Pilzno,21.27228,49.97348
1812022,Jarocin,22.32947,50.57891
1816143,Tyczyn,22.05462,49.95198
2405082,Wielowieś,18.55694,50.50985
3008072,Trzcinica,18.00871,51.17457
1611033,Kolonowskie,18.37307,50.65849
1611053,Strzelce Opolskie,18.28372,50.53382
861011,Gorzów Wielkopolski,15.21948,52.73143
3202042,Krzęcin,15.49634,53.06741
408032,Chrostkowo,19.23653,52.95052
2807032,Iława,19.58133,53.63229
601172,Tuczna,23.42989,51.85745
3218043,Resko,15.44481,53.77399
3201043,Tychowo,16.23764,53.93580
3214102,Stargard,15.04536,53.34574
205042,Mściwojów,16.26470,51.05771
209062,Miłkowice,16.10387,51.25122
211032,Rudna,16.32945,51.51901
1607073,Paczków,17.02683,50.44343
204032,Niechlów,16.38916,51.69157
812023,Szlichtyngowa,16.24465,51.73627
1432013,Błonie,20.58688,52.20237
1408052,Wieliszew,20.88199,52.45233
1415072,Łyse,21.56820,53.37128
1405043,Grodzisk Mazowiecki,20.61648,52.10630
1405032,Baranów,20.47102,52.14989
1215082,Zawoja,19.56331,49.63772
1018032,Galewice,18.26717,51.37752
1436032,Przyłęk,21.75745,51.33129
1813082,Przemyśl,22.74165,49.77517
1425093,Przytyk,20.86862,51.46640
1425132,Zakrzew,21.02521,51.44369
1426062,Paprotnia,22.44422,52.28937
2479011,Żory,18.69236,50.03711
2808011,Kętrzyn,21.37429,54.08144
3030043,Pyzdry,17.73039,52.14549
3030053,Września,17.58647,52.33045
3061011,Kalisz,18.07608,51.74395
1818042,Radomyśl nad Sanem,21.94707,50.71492
1820043,Nowa Dęba,21.73681,50.47234
1437052,Siemiątkowo,20.03498,52.87849
408062,Lipno,19.15054,52.82696
613052,Podedwórze,23.22505,51.66371
615062,Radzyń Podlaski,22.62099,51.79435
620062,Miączyn,23.55337,50.74064
2816023,Orzysz,21.93234,53.80781
2816043,Ruciane-Nida,21.56932,53.63949
811063,Lubsko,14.97570,51.81980
1001042,Kleszczów,19.29252,51.23407
1003012,Buczek,19.17438,51.52190
1003052,Wodzierady,19.12965,51.71631
1014082,Sieradz,18.75622,51.58364
1419072,Łąck,19.62265,52.45251
1008052,Ksawerów,19.40732,51.67753
1215042,Bystra-Sidzina,19.72040,49.61869
2417072,Łękawica,19.29726,49.75060
2610022,Bliżyn,20.71531,51.09445
412011,Rypin,19.41981,53.06343
412062,Wąpielsk,19.28355,53.15278
