TERYT Gmina,Nazwa Gminy,RODZAJ,Długość,Szerokość
418043,Brześć Kujawski,gmina,"493360,456741002","529396,00858686"
602112,Potok Górny,gmina,"749676,447022007","287155,727530764"
802042,Dąbie,gmina,"238666,872811514","465096,968943001"
1438011,Żyrardów,gmina,"598990,183478803","466636,504517041"
1463011,Radom,gmina,"649946,516680575","395495,256638929"
1816082,Kamień,gmina,"722001,305934747","277263,021596072"
214083,Twardogóra,gmina,"393417,314194952","390747,217885524"
2207043,Prabuty,gmina,"513004,363342702","654976,287609622"
215022,Domaniów,gmina,"369817,502686618","339416,906501065"
215011,Oława,gmina,"379962,368587386","343905,744432093"
418083,Izbica Kujawska,gmina,"486364,870020042","503538,303111733"
603062,Kamień,gmina,"822421,983580303","369058,91050618"
603082,Rejowiec Fabryczny,gmina,"790576,494632993","371105,409308597"
604032,Horodło,gmina,"851255,323858625","349015,910954722"
803063,Trzciel,gmina,"280315,956498633","503580,122589213"
804032,Kolsko,gmina,"289652,25827823","459603,405982916"
804052,Nowa Sól,gmina,"279488,373331243","445616,202566295"
1419112,Słubice,gmina,"562442,09711458","503695,958345832"
1603022,Bierawa,gmina,"451326,620964604","268875,395953639"
1605023,Krapkowice,gmina,"424902,043989477","289158,806947403"
1606012,Domaszowice,gmina,"420945,258160904","354015,233904908"
1817073,Zagórz,gmina,"733275,994826645","179531,612408525"
2003052,Brańsk,gmina,"759714,569488613","548637,578393383"
2003082,Wyszki,gmina,"767656,159054046","561047,812080261"
2004062,Wąsosz,gmina,"721713,469367015","631019,00723743"
216032,Grębocice,gmina,"306174,372896789","416364,493049833"
2401052,Mierzęcice,gmina,"509736,785529198","286230,120664484"
2401073,Siewierz,gmina,"515021,046092704","289971,852199039"
805022,Górzyca,gmina,"208259,354718919","523752,759758397"
1008011,Konstantynów Łódzki,gmina,"521677,318550192","432162,602121431"
1420011,Płońsk,gmina,"592301,205712633","529722,329321883"
1403132,Wilga,gmina,"665429,053919216","445069,39354415"
1423063,Przysucha,gmina,"612158,856284155","387218,343178401"
225063,Węgliniec,gmina,"233055,988043035","393517,495161012"
1201022,Bochnia,gmina,"600965,334511557","235701,331187974"
3203052,Wierzchowo,gmina,"311642,742797586","623242,413199779"
2402052,Jasienica,gmina,"493272,303864041","218967,392797741"
605042,Godziszów,gmina,"746053,047860784","328685,684208046"
409043,Strzelno,gmina,"444181,36382183","529422,820760089"
413043,Więcbork,gmina,"396423,321059265","610528,136163065"
415022,Chełmża,gmina,"476546,616262048","591829,184305753"
405043,Kowalewo Pomorskie,gmina,"491527,073505595","586983,385346227"
2411011,Racibórz,gmina,"444610,302383313","247093,720894969"
2412042,Lyski,gmina,"455308,934925137","250586,774187405"
3021103,Mosina,gmina,"355748,969947131","487682,178943891"
1435012,Brańszczyk,gmina,"675836,466157271","536043,242503344"
464011,Włocławek,gmina,"503870,965484987","532804,676134449"
418132,Włocławek,gmina,"511632,306935871","525737,237342096"
2409023,Koziegłowy,gmina,"512531,691434289","301315,334336117"
2409011,Myszków,gmina,"523316,116509938","299531,103602176"
2409032,Niegowa,gmina,"535857,062376629","308879,487691363"
807043,Sulęcin,gmina,"240190,621335084","514152,520842016"
808022,Łagów,gmina,"245796,115370576","497622,357651991"
2212022,Damnica,gmina,"388870,896593709","738421,60211885"
2212082,Słupsk,gmina,"372684,464663291","737950,276029671"
2213021,Skórcz,gmina,"468304,532709005","658968,849388931"
2213102,Skórcz,gmina,"469291,070536696","660399,520583567"
1404052,Szczawin Kościelny,gmina,"540637,472197732","498458,251496955"
1211092,Nowy Targ,gmina,"577617,561536069","180121,209258523"
