JPT_NAZWA_,JPT_KOD_JE,longitude,latitude,mean_longitude,mean_latitude
powiat łomżyński,2007,705241.4895139688,597065.2982880323,717423.9845838151,598231.0697312136
powiat Szczecin,3262,208782.04675318298,627484.503854797,207026.16671023256,627196.1800216543
powiat białogardzki,3201,307261.7010905749,683050.2928700434,305081.12932253524,683253.3481160644
powiat lwówecki,0212,256696.39189025157,356686.7144932729,259401.70310252445,355735.4869085974
powiat wałbrzyski,0221,306671.8468494402,323318.0201958623,300263.90092745505,324868.7284741802
powiat piaseczyński,1418,638540.3022430089,462487.5988119876,638433.1638922998,463369.4505207059
powiat sandomierski,2609,685598.8467246577,316339.42204246117,689271.6399533359,317635.1498625069
powiat ciechanowski,1402,608134.3882321814,555918.1013385665,609340.1296482729,560833.9281057464
powiat Płock,1462,547571.1645780645,519311.3229495729,548398.752615682,519058.93475643825
powiat krakowski,1206,561571.7943951299,251545.49480701896,550503.1275773409,248533.78561588423
powiat gostyniński,1404,538888.6474403283,501514.6357872358,532822.1230364151,502820.82821846893
powiat nowodworski,1414,613894.11847477,511600.52192634833,613258.4826083744,512407.0253243842
powiat kościański,3011,342649.692957594,467381.53502986464,340480.06799863063,468900.0926760514
powiat sztumski,2216,515116.74192666315,672121.1917366317,517154.9314604101,670812.6594421994
powiat kartuski,2205,439952.5133151852,716885.3533067504,441455.06766124396,718358.0278509669
powiat oleski,1608,462186.5679769667,338201.03244926257,463643.74035947444,334772.0783370123
powiat międzychodzki,3014,298759.20880250225,530570.0459493541,299273.58050320944,530604.2317041722
powiat obornicki,3016,354281.4309937479,540430.6686723307,354644.2275427814,541306.1636354453
powiat ełcki,2805,723736.8958686173,667295.1437963329,725442.5273714964,666232.9617982898
powiat rycki,0616,704158.5352928714,424195.9651978669,708065.868996287,425764.5610000789
powiat szczecinecki,3215,340497.4364092195,654954.3376768858,339218.2967874706,655129.6256748862
powiat kozienicki,1407,670470.5005793353,420190.2196620313,665796.4992912086,422354.68477825774
powiat słubicki,0805,211938.64125124313,507250.2650306827,209602.2382419437,503896.0737209618
powiat suski,1215,546720.5912625897,202848.28460679494,546742.4168204907,204048.6684327596
powiat turecki,3027,466306.1376247381,459617.50367457914,465421.5791456235,458923.30392469745
powiat wałecki,3217,318023.83580876235,600253.0699512387,321899.3059283949,600244.1485753562
powiat chełmiński,0404,467817.7266855513,604101.5559246191,468920.2374553246,604032.641560846
powiat kluczborski,1604,441760.01455516997,348268.429998028,441999.11329093046,346854.5865092268
powiat sępoleński,0413,402193.2847390228,618524.203623651,402473.9815124612,620816.7577907564
powiat złotowski,3031,361970.75880236976,618120.9236356484,359393.29714342934,618500.5962116108
powiat sulęciński,0807,233253.55875323297,516048.7908398264,240283.9377157715,514337.4221682637
powiat bialski,0601,789053.8719405873,464808.01603362657,784198.8929483606,464637.00847079
powiat chodzieski,3001,365156.32049581193,568496.7647345186,363784.09027014486,567010.9621879072
powiat kłodzki,0208,330391.9470549078,281115.91145200224,329563.7314736552,282953.1849364005
powiat olsztyński,2814,602299.3539924882,661420.7731365856,613746.4305780085,657941.7379766996
powiat zgorzelecki,0225,226890.1231185246,376874.8732692398,226151.9148793512,373587.85656017484
powiat sieradzki,1014,472321.9284002568,413270.16062892176,473168.4959764059,415261.4089798671
powiat skarżyski,2610,626174.4279822576,358443.31405224977,623245.5156354944,357029.26960735815
powiat żyrardowski,1438,598181.2186760827,460549.42250746343,598430.8853784481,460393.6685694293
powiat dębicki,1803,668501.7074295136,240907.47633538736,665603.3055975176,239654.1761151529
powiat przasnyski,1422,627965.0540537507,587629.9137762474,627860.5083261998,584898.2837946191
powiat siemiatycki,2010,764617.4670649278,520187.5963671053,764293.8925881886,520997.14843498217
powiat gnieÅºnieński,3003,404928.3792134083,520088.83235146606,406811.6979632849,521771.2281335639
